Position,team,win,draw,loss,gf,ga,point
1,REAL MADRID,29,8,1,87,26,95
2,BARCELONA,26,7,5,79,44,85
3,GIRONA,25,6,7,85,46,81
4,ATLETICO MADRID,24,4,10,70,43,76
5,ATHLETIC CLUB,19,11,8,61,37,68
6,REAL SOCIEDAD,16,12,10,51,39,60
7,REAL BETIS,14,15,9,48,45,57
8,VILLARREAL,14,11,13,65,65,53
9,VALENCIA,13,10,15,40,45,49
10,ALAVES,12,10,16,36,46,46
11,OSASUNA,12,9,17,45,56,45
12,GETAFE,10,13,15,42,54,43
14,SEVILLA,10,11,17,48,54,41
14,CELTA VIGO,10,11,17,46,57,41
16,LAS PALMAS,10,10,18,33,47,40
16,MALLORCA,8,16,14,33,44,40
17,RAYO VALLECANO,8,14,16,29,48,38
18,CADIZ,6,15,17,26,55,33
20,GRANADA,4,9,25,38,79,21
20,ALMERIA,3,12,23,43,75,21
