Position,team,win,draw,loss,gf,ga,point
1,REAL MADRID,26,8,4,80,31,86
2,BARCELONA,21,10,7,68,38,73
3,ATLETICO MADRID,21,8,9,65,43,71
4,SEVILLA,18,16,4,53,30,70
5,REAL BETIS,19,8,11,62,40,65
6,REAL SOCIEDAD,17,11,10,40,37,62
7,VILLARREAL,16,11,11,63,37,59
8,ATHLETIC CLUB,14,13,11,43,36,55
9,VALENCIA,11,15,12,48,53,48
10,OSASUNA,12,11,15,37,51,47
11,CELTA VIGO,12,10,16,43,43,46
14,ESPANYOL,10,12,16,40,53,42
14,ELCHE,11,9,18,40,52,42
14,RAYO VALLECANO,11,9,18,39,50,42
17,MALLORCA,10,9,19,36,63,39
17,CADIZ,8,15,15,35,51,39
17,GETAFE,8,15,15,33,41,39
18,GRANADA,8,14,16,44,61,38
19,LEVANTE,8,11,19,51,76,35
20,ALAVES,8,7,23,31,65,31
